sequence_id,xgb1_probability,xgb2_probability,xgb1_prediction,xgb2_prediction,final_prediction,final_confidence
ECK120016939 ASCGP REVERSE 2839287 SIGMA70 WEAK,0.944374,0.98325515,1,1,1,0.98325515
ECK120009851 ASTCP1 REVERSE 1832013 SIGMA70 WEAK,0.9730558,0.7561797,1,1,1,0.9730558
ECK125137912 ATPCP1 REVERSE 3916059 SIGMA70 WEAK,0.7348252,0.09108038,1,0,1,0.7348252
ECK125138022 BASSP4 REVERSE 4333477 SIGMA70 WEAK,0.7917728,0.6284058,1,1,1,0.7917728
ECK125137856 BAXP7 REVERSE 3737234 SIGMA70 WEAK,0.4697455,0.5055921,0,1,1,0.5055921
ECK120016406 BCSBP REVERSE 3692673 SIGMA70 WEAK,0.44925374,0.9263712,0,1,1,0.9263712
ECK125095201 BDCAP REVERSE 4474064 SIGMA70 WEAK,0.9891593,0.9576761,1,1,1,0.9891593
ECK125136763 BHSAP8 FORWARD 1168981 SIGMA70 WEAK,0.9993161,0.9991021,1,1,1,0.9993161
ECK120010997 BIOAP REVERSE 809292 SIGMA70 WEAK,0.65109867,0.8261571,1,1,1,0.8261571
ECK120010998 BIOBP FORWARD 809302 SIGMA70 WEAK,0.06749059,0.6303367,0,1,1,0.6303367
ECK125137841 BISCP3 REVERSE 3716486 SIGMA70 WEAK,0.1619276,0.62129104,0,1,1,0.62129104
ECK125137844 BISCP7 REVERSE 3716513 SIGMA70 WEAK,0.86839443,0.21960206,1,0,1,0.86839443
ECK125136804 BLUFP7 REVERSE 1215613 SIGMA70 WEAK,0.7153195,0.36546847,1,0,1,0.7153195
ECK125230250 CECRP REVERSE 830669 SIGMA70 WEAK,0.8562157,0.95820737,1,1,1,0.95820737
ECK120010764 CEDAP REVERSE 1813742 SIGMA70 WEAK,0.9680921,0.99410146,1,1,1,0.99410146
ECK120035107 CHOP FORWARD 1823492 SIGMA70 WEAK,0.9985055,0.8004756,1,1,1,0.9985055
ECK120009878 CHPSP2 FORWARD 4448428 SIGMA70 WEAK,0.9738099,0.6045606,1,1,1,0.9738099
ECK125136564 CITTP6 REVERSE 646603 SIGMA70 WEAK,0.8895136,0.81461823,1,1,1,0.8895136
ECK125137205 CLDP6 REVERSE 2098375 SIGMA70 WEAK,0.34947366,0.8060155,0,1,1,0.8060155
ECK120010689 CMOMP FORWARD 973404 SIGMA70 WEAK,0.9826927,0.9530588,1,1,1,0.9826927
CK125137023 CNUP7 FORWARD 1704873 SIGMA70 WEAK,0.5990671,0.9717416,1,1,1,0.9717416
ECK125137197 COBTP8 REVERSE 2064601 SIGMA70 WEAK,0.24527523,0.75872654,0,1,1,0.75872654
ECK125136790 COHEP9 REVERSE 1203014 SIGMA70 WEAK,0.7042649,0.8827875,1,1,1,0.8827875
ECK125136762 COMRP3 REVERSE 1168863 SIGMA70 WEAK,0.99344325,0.8314196,1,1,1,0.99344325
ECK120010546 CREAP FORWARD 4635477 SIGMA70 WEAK,0.98597986,0.9653234,1,1,1,0.98597986
ECK125136793 CROEP5 FORWARD 1203006 SIGMA70 WEAK,0.5400734,0.51644874,1,1,1,0.5400734
ECK125137495 CSDAP3 FORWARD 2943207 SIGMA70 WEAK,0.66198224,0.92005736,1,1,1,0.92005736
ECK120034386 CSPEP1 FORWARD 657147 SIGMA70 WEAK,0.8808391,0.9379339,1,1,1,0.9379339
ECK125136996 CSPFP6 FORWARD 1641765 SIGMA70 WEAK,0.8707486,0.88954306,1,1,1,0.88954306
ECK125136997 CSPFP7 FORWARD 1641690 SIGMA70 WEAK,0.8375806,0.41513172,1,0,1,0.8375806
ECK125136713 CSPHP9 REVERSE 1051330 SIGMA70 WEAK,0.9074089,0.2352776,1,0,1,0.9074089
ECK125136817 CVRAP6 REVERSE 1242164 SIGMA70 WEAK,0.9025353,0.9633563,1,1,1,0.9633563
ECK125136921 CYBBP6 FORWARD 1490887 SIGMA70 WEAK,0.8756512,0.95838773,1,1,1,0.95838773
ECK125136489 CYOEP3 REVERSE 447770 SIGMA70 WEAK,0.37049848,0.8268326,0,1,1,0.8268326
ECK120010149 CYSBP FORWARD 1333788 SIGMA70 WEAK,0.9885755,0.9789988,1,1,1,0.9885755
ECK120022294 DACCP FORWARD 880653 SIGMA70 WEAK,0.5255298,0.8667718,1,1,1,0.8667718
ECK120009913 DCUDP FORWARD 3374766 SIGMA70 WEAK,0.98640347,0.9926359,1,1,1,0.9926359
ECK120029294 DICBP FORWARD 1649597 SIGMA70 WEAK,0.5787887,0.9157442,1,1,1,0.9157442
ECK120051380 DINBP FORWARD 250880 SIGMA70 WEAK,0.9378883,0.92345643,1,1,1,0.9378883
ECK120010093 DINGP FORWARD 833073 SIGMA70 WEAK,0.23933229,0.7984702,0,1,1,0.7984702
ECK120049203 DINJP REVERSE 246615 SIGMA70 WEAK,0.98490024,0.97358125,1,1,1,0.98490024
ECK125136360 DJLAP3 FORWARD 57268 SIGMA70 WEAK,0.5084439,0.12151821,1,0,1,0.5084439
ECK125137105 DMLRP3 REVERSE 1881855 SIGMA70 WEAK,0.9677932,0.33845335,1,0,1,0.9677932
ECK125136815 DSBBP6 REVERSE 1233147 SIGMA70 WEAK,0.3369531,0.53189945,0,1,1,0.53189945
ECK120011037 DSDCP REVERSE 2477746 SIGMA70 WEAK,0.71400833,0.8138771,1,1,1,0.8138771
ECK125136605 DTPDP5 REVERSE 742622 SIGMA70 WEAK,0.5756207,0.8583887,1,1,1,0.8583887
ECK125136607 DTPDP8 REVERSE 742670 SIGMA70 WEAK,0.93258774,0.8988899,1,1,1,0.93258774
ECK125138002 DUSAP6 FORWARD 4261658 SIGMA70 WEAK,0.99482536,0.97556406,1,1,1,0.99482536
ECK120011034 EBGAP FORWARD 3222551 SIGMA70 WEAK,0.96262604,0.9405548,1,1,1,0.96262604
ECK125137289 ECOP5 FORWARD 2303797 SIGMA70 WEAK,0.8420161,0.4949895,1,0,1,0.8420161
ECK125136725 EFEOP1 FORWARD 1082243 SIGMA70 WEAK,0.96820694,0.866395,1,1,1,0.96820694
ECK120009875 EFPP FORWARD 4375567 SIGMA70 WEAK,0.12500952,0.8043707,0,1,1,0.8043707
ECK125137314 ELAAP3 REVERSE 2381614 SIGMA70 WEAK,0.55035865,0.5472429,1,1,1,0.55035865
ECK125137317 ELADP8 FORWARD 2382654 SIGMA70 WEAK,0.2959776,0.8790095,0,1,1,0.8790095
ECK125136694 ELFAP7 FORWARD 997808 SIGMA70 WEAK,0.7299943,0.470244,1,0,1,0.7299943
ECK125136819 EMTAP4 FORWARD 1243125 SIGMA70 WEAK,0.35258132,0.6263156,0,1,1,0.6263156
ECK125136554 ENTDP2 REVERSE 610141 SIGMA70 WEAK,0.19325715,0.5888292,0,1,1,0.5888292
ECK125137733 ENVRP14 REVERSE 3413633 SIGMA70 WEAK,0.9368057,0.71828157,1,1,1,0.9368057
ECK125138031 EPMBP3 REVERSE 4375703 SIGMA70 WEAK,0.91534334,0.27882525,1,0,1,0.91534334
ECK125137196 ERFKP4 REVERSE 2063354 SIGMA70 WEAK,0.9360562,0.741424,1,1,1,0.9360562
ECK120009935 EXBBP REVERSE 3152014 SIGMA70 WEAK,0.9989171,0.98591065,1,1,1,0.9989171
ECK120011031 FABAP REVERSE 1016498 SIGMA70 WEAK,0.66600823,0.29805282,1,0,1,0.66600823
ECK120010075 FADIP REVERSE 2460511 SIGMA70 WEAK,0.6052348,0.81817937,1,1,1,0.81817937
ECK125136522 FDRAP4 FORWARD 546506 SIGMA70 WEAK,0.39017454,0.59474045,0,1,1,0.59474045
ECK120016950 FEOAP FORWARD 3540057 SIGMA70 WEAK,0.9034825,0.23053543,1,0,1,0.9034825
ECK125136498 FFSP7 FORWARD 476422 SIGMA70 WEAK,0.925352,0.68888867,1,1,1,0.925352
ECK120010999 FHUAP FORWARD 167442 SIGMA70 WEAK,0.9991579,0.9913052,1,1,1,0.9991579
ECK125109862 FHUFP2 REVERSE 4605752 SIGMA70 WEAK,0.9992113,0.9976978,1,1,1,0.9992113
ECK120009934 FIUP REVERSE 841648 SIGMA70 WEAK,0.37014377,0.69171983,0,1,1,0.69171983
ECK120016579 FLGAP REVERSE 1130885 SIGMA70 WEAK,0.9865954,0.9603689,1,1,1,0.9865954
ECK120016580 FLGBP FORWARD 1130993 SIGMA70 WEAK,0.9507916,0.9841846,1,1,1,0.9841846
ECK120016704 FLIEP1 REVERSE 2013036 SIGMA70 WEAK,0.85372806,0.24007595,1,0,1,0.85372806
ECK120016705 FLIFP1 FORWARD 2013146 SIGMA70 WEAK,0.09736961,0.5341582,0,1,1,0.5341582
ECK120035125 FOLEP REVERSE 2243848 SIGMA70 WEAK,0.6757199,0.42017323,1,0,1,0.6757199
ECK125137754 FRLAP13 FORWARD 3499835 SIGMA70 WEAK,0.9897063,0.9933494,1,1,1,0.9933494
ECK120010219 FRUBP REVERSE 2263597 SIGMA70 WEAK,0.83664405,0.532566,1,1,1,0.83664405
ECK120015390 FTSKP3 FORWARD 933218 SIGMA70 WEAK,0.89105135,0.6104329,1,1,1,0.89105135
ECK120011035 FUCAP REVERSE 2933854 SIGMA70 WEAK,0.7233967,0.74505395,1,1,1,0.74505395
ECK120010191 FUCPP FORWARD 2934119 SIGMA70 WEAK,0.9231991,0.9659593,1,1,1,0.9659593
ECK120010217 FUMBP REVERSE 4347348 SIGMA70 WEAK,0.49453643,0.92582035,0,1,1,0.92582035
ECK125141980 FUMCP1 REVERSE 1686654 SIGMA70 WEAK,0.26655662,0.9127017,0,1,1,0.9127017
ECK120010723 GARPP REVERSE 3274934 SIGMA70 WEAK,0.8986511,0.9136569,1,1,1,0.9136569
ECK120015472 GCLP FORWARD 533907 SIGMA70 WEAK,0.9926645,0.98095393,1,1,1,0.9926645
ECK125136710 GFCDP3 REVERSE 1048118 SIGMA70 WEAK,0.52159363,0.7508645,1,1,1,0.7508645
ECK125137571 GLCAP10 REVERSE 3121364 SIGMA70 WEAK,0.9589126,0.6482899,1,1,1,0.9589126
ECK125137620 GLNEP6 REVERSE 3199801 SIGMA70 WEAK,0.99540627,0.99847335,1,1,1,0.99847335
ECK120015498 GLNQP REVERSE 846631 SIGMA70 WEAK,0.04117263,0.72290033,0,1,1,0.72290033
ECK120015424 GLOAP FORWARD 1727801 SIGMA70 WEAK,0.9692907,0.969395,1,1,1,0.969395
ECK125136401 GLOBP5 REVERSE 234926 SIGMA70 WEAK,0.7962208,0.9584137,1,1,1,0.9584137
ECK120010125 GLPABCP FORWARD 2352583 SIGMA70 WEAK,0.67467296,0.17913042,1,0,1,0.67467296
ECK120011001 GLPTQP REVERSE 2352451 SIGMA70 WEAK,0.96214837,0.9682519,1,1,1,0.9682519
ECK120016706 GLTIP1 REVERSE 687896 SIGMA70 WEAK,0.26354626,0.6442259,0,1,1,0.6442259
ECK125138011 GLTPP6 FORWARD 4294307 SIGMA70 WEAK,0.99925417,0.9740475,1,1,1,0.99925417
ECK120010609 GLYWP REVERSE 1992180 SIGMA70 WEAK,0.41932413,0.9416393,0,1,1,0.9416393
ECK120010048 GNTRP1 REVERSE 3578749 SIGMA70 WEAK,0.80334944,0.8629295,1,1,1,0.8629295
ECK125137872 GPSAP5 REVERSE 3783810 SIGMA70 WEAK,0.08369298,0.66966844,0,1,1,0.66966844
ECK125135020 GRXBP REVERSE 1124103 SIGMA70 WEAK,0.352968,0.7025708,0,1,1,0.7025708
ECK125136745 GRXBP4 REVERSE 1124083 SIGMA70 WEAK,0.2911676,0.51251435,0,1,1,0.51251435
ECK125137874 GRXCP2 REVERSE 3784576 SIGMA70 WEAK,0.87760884,0.69742453,1,1,1,0.87760884
ECK125095208 GRXD REVERSE 1734162 SIGMA70 WEAK,0.7885412,0.5868564,1,1,1,0.7885412
ECK125136473 HEMBP7 REVERSE 389861 SIGMA70 WEAK,0.9498665,0.9977443,1,1,1,0.9977443
ECK125136499 HHAP6 REVERSE 480503 SIGMA70 WEAK,0.41017267,0.93459594,0,1,1,0.93459594
ECK125136354 HOKCP4 REVERSE 16951 SIGMA70 WEAK,0.62548506,0.2046263,1,0,1,0.62548506
ECK125137132 HOLEP4 FORWARD 1925029 SIGMA70 WEAK,0.78837484,0.6744833,1,1,1,0.78837484
ECK125137134 HOLEP6 FORWARD 1925086 SIGMA70 WEAK,0.9537692,0.9907872,1,1,1,0.9907872
ECK125137913 HSRAP4 REVERSE 3940643 SIGMA70 WEAK,0.66919756,0.2477512,1,0,1,0.66919756
ECK125136376 HTREP5 REVERSE 155438 SIGMA70 WEAK,0.83258843,0.46072197,1,0,1,0.83258843
ECK125138091 HYPTP4 REVERSE 4558317 SIGMA70 WEAK,0.6477115,0.78827834,1,1,1,0.78827834
ECK125138092 IADAP3 REVERSE 4559537 SIGMA70 WEAK,0.58356875,0.57799476,1,1,1,0.58356875
ECK125137693 IBAGP4 REVERSE 3336983 SIGMA70 WEAK,0.98998696,0.9805776,1,1,1,0.98998696
ECK125137694 IBAGP9 REVERSE 3336954 SIGMA70 WEAK,0.7057686,0.39256805,1,0,1,0.7057686
ECK125137540 IDIP4 FORWARD 3033039 SIGMA70 WEAK,0.97278756,0.45443884,1,0,1,0.97278756
ECK125137541 IDIP5 FORWARD 3032938 SIGMA70 WEAK,0.76648766,0.81753576,1,1,1,0.81753576
ECK120010052 IDNRP REVERSE 4491182 SIGMA70 WEAK,0.64717406,0.8986029,1,1,1,0.8986029
ECK120009910 INAAP REVERSE 2349499 SIGMA70 WEAK,0.9965299,0.8980978,1,1,1,0.9965299
ECK125138083 INSAP13 FORWARD 4518442 SIGMA70 WEAK,0.3240972,0.8208857,0,1,1,0.8208857
ECK125138084 INSAP14 FORWARD 4518379 SIGMA70 WEAK,0.99850106,0.9262584,1,1,1,0.99850106
ECK125138074 INSGP6 REVERSE 4503549 SIGMA70 WEAK,0.30069506,0.57294595,0,1,1,0.57294595
ECK125137573 INSHP4 FORWARD 3130025 SIGMA70 WEAK,0.7545862,0.92629623,1,1,1,0.92629623
ECK125136416 INSHP5 REVERSE 275298 SIGMA70 WEAK,0.67591053,0.91906816,1,1,1,0.91906816
ECK125137212 INSHP6 REVERSE 2103049 SIGMA70 WEAK,0.58359677,0.18195127,1,0,1,0.58359677
ECK125138079 INSIP5 REVERSE 4508686 SIGMA70 WEAK,0.8041752,0.47936985,1,0,1,0.8041752
ECK125136352 INSLP5 FORWARD 15380 SIGMA70 WEAK,0.05413,0.6809902,0,1,1,0.6809902
ECK125137120 KDGRP9 REVERSE 1910140 SIGMA70 WEAK,0.79742575,0.37183514,1,0,1,0.79742575
ECK125137507 KDUIP5 REVERSE 2984194 SIGMA70 WEAK,0.99992955,0.98470587,1,1,1,0.99992955
ECK125137429 KGTPP6 REVERSE 2725809 SIGMA70 WEAK,0.9968081,0.56754386,1,1,1,0.9968081
ECK125137104 LEUEP4 REVERSE 1880767 SIGMA70 WEAK,0.8455738,0.9556166,1,1,1,0.9556166
ECK125136782 LITP8 FORWARD 1198590 SIGMA70 WEAK,0.8611848,0.73220515,1,1,1,0.8611848
ECK125136783 LITP9 FORWARD 1198668 SIGMA70 WEAK,0.9906397,0.68453246,1,1,1,0.9906397
ECK125136767 LOLCP5 FORWARD 1175399 SIGMA70 WEAK,0.82346344,0.61971104,1,1,1,0.82346344
ECK125138066 LPTFP5 FORWARD 4486188 SIGMA70 WEAK,0.9820296,0.8400387,1,1,1,0.9820296
ECK125138067 LPTFP6 FORWARD 4486122 SIGMA70 WEAK,0.99980897,0.97014815,1,1,1,0.99980897
ECK120033733 LPXCP1 FORWARD 106508 SIGMA70 WEAK,0.49838197,0.87702286,0,1,1,0.87702286
ECK120034947 LSRRP REVERSE 1601257 SIGMA70 WEAK,0.9507114,0.9430709,1,1,1,0.9507114
ECK120011040 LYSRP FORWARD 2978950 SIGMA70 WEAK,0.78218335,0.7085466,1,1,1,0.78218335
ECK125136965 MAEAP3 REVERSE 1555742 SIGMA70 WEAK,0.30733493,0.6893141,0,1,1,0.6893141
ECK125136483 MAKP4 FORWARD 410118 SIGMA70 WEAK,0.5213378,0.054603003,1,0,1,0.5213378
ECK120010133 MALKP FORWARD 4246736 SIGMA70 WEAK,0.8459029,0.35792497,1,0,1,0.8459029
ECK120010245 MARRP FORWARD 1619093 SIGMA70 WEAK,0.9809822,0.8941505,1,1,1,0.9809822
ECK125136442 MATAP10 REVERSE 311460 SIGMA70 WEAK,0.92293024,0.84344983,1,1,1,0.92293024
ECK125136441 MATAP9 REVERSE 311432 SIGMA70 WEAK,0.97728854,0.9937668,1,1,1,0.9937668
ECK125136437 MATBP5 REVERSE 310797 SIGMA70 WEAK,0.20305617,0.88488334,0,1,1,0.88488334
ECK125136799 MCRAP8 FORWARD 1210319 SIGMA70 WEAK,0.78232384,0.9085019,1,1,1,0.9085019
ECK125137608 MDABP7 FORWARD 3172407 SIGMA70 WEAK,0.90228796,0.66948414,1,1,1,0.90228796
ECK125137039 MDTKP9 FORWARD 1743375 SIGMA70 WEAK,0.98910135,0.7360841,1,1,1,0.98910135
ECK120011042 METCP FORWARD 3152075 SIGMA70 WEAK,0.9943785,0.99133366,1,1,1,0.9943785
ECK120010226 MGLBP REVERSE 2240566 SIGMA70 WEAK,0.9987644,0.9900765,1,1,1,0.9987644
ECK125137248 MLRAP6 FORWARD 2214749 SIGMA70 WEAK,0.97520065,0.60740036,1,1,1,0.97520065
ECK125137496 MLTAP6 REVERSE 2947273 SIGMA70 WEAK,0.5089138,0.4342475,1,0,1,0.5089138
ECK125136399 MLTDP3 REVERSE 234025 SIGMA70 WEAK,0.95901173,0.7157821,1,1,1,0.95901173
ECK125136400 MLTDP4 REVERSE 233982 SIGMA70 WEAK,0.976189,0.43050316,1,0,1,0.976189
ECK120016184 MLTFP FORWARD 2695767 SIGMA70 WEAK,0.7649864,0.9376478,1,1,1,0.9376478
ECK125136419 MMUPP5 FORWARD 275287 SIGMA70 WEAK,0.89437675,0.7280762,1,1,1,0.89437675
ECK120010502 MNGRP REVERSE 765926 SIGMA70 WEAK,0.98024553,0.93605965,1,1,1,0.98024553
ECK125136649 MNTRP5 FORWARD 853083 SIGMA70 WEAK,0.99809104,0.9586367,1,1,1,0.99809104
ECK125137536 MOCAP9 FORWARD 3015056 SIGMA70 WEAK,0.794064,0.25753286,1,0,1,0.794064
ECK125136881 MPPAP13 FORWARD 1393121 SIGMA70 WEAK,0.94958174,0.95511186,1,1,1,0.95511186
ECK125137292 MQOP5 REVERSE 2306858 SIGMA70 WEAK,0.91750705,0.9025083,1,1,1,0.91750705
ECK125137598 MQSAP8 REVERSE 3168289 SIGMA70 WEAK,0.28205922,0.52983224,0,1,1,0.52983224
ECK125137599 MQSAP9 REVERSE 3168371 SIGMA70 WEAK,0.77315277,0.030470006,1,0,1,0.77315277
ECK125137626 MUGP6 REVERSE 3215496 SIGMA70 WEAK,0.9965708,0.5337059,1,1,1,0.9965708
ECK120011044 NADBP FORWARD 2710357 SIGMA70 WEAK,0.996452,0.96580005,1,1,1,0.996452
ECK125137443 NADKP2 FORWARD 2750763 SIGMA70 WEAK,0.23068137,0.57245797,0,1,1,0.57245797
ECK125136769 NAGKP3 FORWARD 1178540 SIGMA70 WEAK,0.9945263,0.9964618,1,1,1,0.9964618
ECK125137706 NANRP10 REVERSE 3374676 SIGMA70 WEAK,0.8858186,0.73160416,1,1,1,0.8858186
ECK125137705 NANRP9 REVERSE 3374703 SIGMA70 WEAK,0.7387991,0.9929629,1,1,1,0.9929629
ECK120015471 NARZP REVERSE 1542690 SIGMA70 WEAK,0.510372,0.41154212,1,0,1,0.510372
ECK125137405 NDKP4 REVERSE 2644960 SIGMA70 WEAK,0.9809337,0.91710347,1,1,1,0.9809337
ECK120015394 NOHAP REVERSE 1636603 SIGMA70 WEAK,0.973777,0.9968117,1,1,1,0.9968117
ECK125137985 NUDCP2 FORWARD 4196719 SIGMA70 WEAK,0.55388474,0.84673357,1,1,1,0.84673357
ECK125137759 NUDEP6 REVERSE 3526246 SIGMA70 WEAK,0.22382256,0.530504,0,1,1,0.530504
ECK125137308 NUDIP3 FORWARD 2364525 SIGMA70 WEAK,0.41016313,0.51338047,0,1,1,0.51338047
ECK125137231 OGRKP5 REVERSE 2167548 SIGMA70 WEAK,0.99961424,0.9992889,1,1,1,0.99961424
ECK125136907 OMPNP4 REVERSE 1436984 SIGMA70 WEAK,0.9579792,0.9265464,1,1,1,0.9579792
ECK125136908 OMPNP6 REVERSE 1437058 SIGMA70 WEAK,0.99840146,0.9544641,1,1,1,0.99840146
ECK125138111 OPGBP7 REVERSE 4599494 SIGMA70 WEAK,0.21617761,0.7410503,0,1,1,0.7410503
ECK125136931 OPGDP7 FORWARD 1496682 SIGMA70 WEAK,0.7259352,0.717349,1,1,1,0.7259352
ECK125136933 OPGDP9 FORWARD 1496776 SIGMA70 WEAK,0.9629867,0.9964635,1,1,1,0.9964635
ECK125138036 ORNP5 FORWARD 4391584 SIGMA70 WEAK,0.8549228,0.8731695,1,1,1,0.8731695
ECK125109032 OXYSP REVERSE 4158394 SIGMA70 WEAK,0.12120444,0.86232716,0,1,1,0.86232716
ECK125137596 PARCP4 REVERSE 3166030 SIGMA70 WEAK,0.9189352,0.77928525,1,1,1,0.9189352
ECK125137253 PBPGP5 REVERSE 2225066 SIGMA70 WEAK,0.86950207,0.52122045,1,1,1,0.86950207
ECK125137254 PBPGP7 REVERSE 2224941 SIGMA70 WEAK,0.9927336,0.95698106,1,1,1,0.9927336
ECK125137981 PFLDP3 FORWARD 4143953 SIGMA70 WEAK,0.6285512,0.46341124,1,0,1,0.6285512
ECK120011010 PHOAP FORWARD 401707 SIGMA70 WEAK,0.7948636,0.94024825,1,1,1,0.94024825
ECK120011011 PHOBP FORWARD 417101 SIGMA70 WEAK,0.92052007,0.90807724,1,1,1,0.92052007
ECK125137910 PHOUP2 REVERSE 3907646 SIGMA70 WEAK,0.40836844,0.5189618,0,1,1,0.5189618
ECK125136796 PINEP1 FORWARD 1209527 SIGMA70 WEAK,0.6731778,0.9956118,1,1,1,0.9956118
ECK120029525 PITBP REVERSE 3136403 SIGMA70 WEAK,0.98251,0.9248182,1,1,1,0.98251
ECK120049219 PLDAP FORWARD 4004814 SIGMA70 WEAK,0.99433374,0.88907516,1,1,1,0.99433374
ECK125137312 PMRDP3 REVERSE 2373574 SIGMA70 WEAK,0.9240333,0.9417452,1,1,1,0.9417452
ECK120010629 PNTAP REVERSE 1677975 SIGMA70 WEAK,0.9846845,0.98194754,1,1,1,0.9846845
ECK120015389 POLBP REVERSE 65803 SIGMA70 WEAK,0.99583036,0.98205805,1,1,1,0.99583036
ECK125136772 POTDP5 REVERSE 1182848 SIGMA70 WEAK,0.6777937,0.99021673,1,1,1,0.99021673
ECK125095184 PPDDP REVERSE 117705 SIGMA70 WEAK,0.7946234,0.5783373,1,1,1,0.7946234
ECK125137467 PPHBP1 FORWARD 2859737 SIGMA70 WEAK,0.9430698,0.89174634,1,1,1,0.9430698
ECK120010561 PPIAP2 REVERSE 3492395 SIGMA70 WEAK,0.9902384,0.98497343,1,1,1,0.9902384
ECK120010562 PPIAP3 REVERSE 3492430 SIGMA70 WEAK,0.525784,0.42519906,1,0,1,0.525784
ECK120010563 PPIAP4 REVERSE 3492449 SIGMA70 WEAK,0.9950812,0.93046993,1,1,1,0.9950812
ECK125137058 PPSRP6 FORWARD 1787383 SIGMA70 WEAK,0.96273017,0.9609557,1,1,1,0.96273017
ECK125136413 PROBP8 FORWARD 260216 SIGMA70 WEAK,0.98827493,0.9970331,1,1,1,0.9970331
ECK120015167 PRPRP REVERSE 348471 SIGMA70 WEAK,0.5703298,0.5316782,1,1,1,0.5703298
ECK120010529 PYKFP FORWARD 1755467 SIGMA70 WEAK,0.9852213,0.3840349,1,0,1,0.9852213
ECK125137484 QUEEP7 REVERSE 2905606 SIGMA70 WEAK,0.9844848,0.9712554,1,1,1,0.9844848
ECK125136891 RACRP4 REVERSE 1420449 SIGMA70 WEAK,0.54209846,0.7785218,1,1,1,0.7785218
ECK125136412 RAYTP8 FORWARD 247624 SIGMA70 WEAK,0.649638,0.3433471,1,0,1,0.649638
ECK125137316 RBNP4 FORWARD 2381581 SIGMA70 WEAK,0.94263035,0.61651474,1,1,1,0.94263035
ECK125136829 RDLBP4 FORWARD 1269856 SIGMA70 WEAK,0.80144775,0.457923,1,0,1,0.80144775
ECK120015765 RECNP FORWARD 2751759 SIGMA70 WEAK,0.9946338,0.9848512,1,1,1,0.9946338
ECK125137938 RFAHP4 REVERSE 4024873 SIGMA70 WEAK,0.9983595,0.9789032,1,1,1,0.9983595
ECK125137939 RFAHP5 REVERSE 4024965 SIGMA70 WEAK,0.51128936,0.9349235,1,1,1,0.9349235
ECK125137219 RFBXP6 REVERSE 2109586 SIGMA70 WEAK,0.82381755,0.60696113,1,1,1,0.82381755
ECK125137220 RFBXP7 REVERSE 2109718 SIGMA70 WEAK,0.9961138,0.98272705,1,1,1,0.9961138
ECK125137216 RFCP10 REVERSE 2107283 SIGMA70 WEAK,0.8618496,0.9510966,1,1,1,0.9510966
ECK125137215 RFCP8 REVERSE 2107234 SIGMA70 WEAK,0.9129811,0.7848932,1,1,1,0.9129811
ECK125137811 RHSBP10 FORWARD 3619113 SIGMA70 WEAK,0.8246313,0.9211623,1,1,1,0.9211623
ECK125137812 RHSBP11 FORWARD 3619003 SIGMA70 WEAK,0.47325966,0.532759,0,1,1,0.532759
ECK125137809 RHSBP8 FORWARD 3619178 SIGMA70 WEAK,0.9296955,0.9155987,1,1,1,0.9296955
ECK125136518 RHSDP8 FORWARD 523066 SIGMA70 WEAK,0.94535804,0.915359,1,1,1,0.94535804
ECK125136645 RHTAP8 REVERSE 850304 SIGMA70 WEAK,0.83124584,0.9833924,1,1,1,0.9833924
ECK125137038 RIBCP5 REVERSE 1743458 SIGMA70 WEAK,0.81958866,0.5557085,1,1,1,0.81958866
ECK120009923 RIMKP FORWARD 891876 SIGMA70 WEAK,0.8111451,0.8422616,1,1,1,0.8422616
ECK125136642 RLMFP7 FORWARD 842224 SIGMA70 WEAK,0.82003444,0.72660685,1,1,1,0.82003444
ECK125136699 RMFP4 FORWARD 1015532 SIGMA70 WEAK,0.58911484,0.62408084,1,1,1,0.62408084
ECK125136700 RMFP5 FORWARD 1015503 SIGMA70 WEAK,0.28562546,0.8411549,0,1,1,0.8411549
ECK125136561 RNKP6 REVERSE 644055 SIGMA70 WEAK,0.949406,0.8632301,1,1,1,0.949406
ECK125137403 RODZP1 REVERSE 2642932 SIGMA70 WEAK,0.999329,0.98882014,1,1,1,0.999329
ECK125203431 RPLVP FORWARD 2282440 SIGMA70 WEAK,0.8701947,0.98578215,1,1,1,0.98578215
ECK125137690 RPMAP4 REVERSE 3333225 SIGMA70 WEAK,0.6130279,0.29401374,1,0,1,0.6130279
ECK125138035 RSGAP12 REVERSE 4391566 SIGMA70 WEAK,0.90827394,0.7079916,1,1,1,0.90827394
ECK125138116 RSMCP3 REVERSE 4607725 SIGMA70 WEAK,0.31081,0.50221974,0,1,1,0.50221974
ECK125137555 RSMEP4 FORWARD 3091068 SIGMA70 WEAK,0.7318445,0.1781543,1,0,1,0.7318445
ECK125141558 RSMGP REVERSE 3923756 SIGMA70 WEAK,0.044214487,0.9082113,0,1,1,0.9082113
ECK125137279 RTNP1 FORWARD 2270678 SIGMA70 WEAK,0.9934412,0.9155296,1,1,1,0.9934412
ECK125137145 RUVBP3 REVERSE 1945452 SIGMA70 WEAK,0.52939636,0.95453954,1,1,1,0.95453954
ECK120015432 RUVCP REVERSE 1947439 SIGMA70 WEAK,0.85904896,0.61536855,1,1,1,0.85904896
ECK120033029 SBCDP REVERSE 416977 SIGMA70 WEAK,0.9943877,0.99544334,1,1,1,0.99544334
